time_sec,x,y,theta,v,w
2.8,-4.674674823751786e-14,-4.608304658206472e-30,1.971604371192584e-16,-1.669526722768495e-14,7.041444182830658e-17
2.809,-9.349351606902537e-14,-1.8434658992549186e-29,3.9438225024590717e-16,-5.194085314611946e-12,2.1913534791849864e-14
2.8200000000000003,-1.4024029730482927e-13,-4.1482746549559386e-29,5.917000830274436e-16,-4.249707385073082e-12,1.793798479832149e-14
2.83,-1.8698707509532666e-13,-7.375177025295992e-29,7.88888065658181e-16,-4.674677779049739e-12,1.9718798263073745e-14
2.84,-2.3373385980396566e-13,-1.1523785119168488e-28,9.860396089315185e-16,-4.6746784708638986e-12,1.9715154327333748e-14
2.85,-2.804806643014119e-13,-1.6593394844784821e-28,1.1829256412572026e-15,-4.674680449744622e-12,1.9688603232568408e-14
2.8600000000000003,-3.2722750258700235e-13,-2.258361388388831e-28,1.3799082353388736e-15,-4.674683828559048e-12,1.9698259408167107e-14
2.87,-3.7397433956392695e-13,-2.9494611809713283e-28,1.5768684677507574e-15,-4.674683697692458e-12,1.9696023241188375e-14
2.88,-4.20721158801864e-13,-3.732733616393771e-28,1.7742576545877786e-15,-4.674681923793709e-12,1.9738918683702117e-14
3.126,-1.1219243391060313e-12,-2.653951900768102e-27,4.730785685744516e-15,-2.8504194321307617e-12,1.2018406630718446e-14
3.126,-1.1686712621753848e-12,-2.8797080440689543e-27,4.927866840579942e-15,0.0,0.0
3.126,-1.2154181876820753e-12,-3.114667866549319e-27,5.124551363767469e-15,0.0,0.0
3.126,-1.2621651494968332e-12,-3.358822674546489e-27,5.32125296313921e-15,0.0,0.0
3.126,-1.308912125586214e-12,-3.612175572205558e-27,5.518074790367482e-15,0.0,0.0
3.129,-1.3556591461300012e-12,-3.874740551367698e-27,5.715367517092449e-15,-1.5582340181262443e-11,6.576424224165554e-14
3.1310000000000002,-1.402406138996987e-12,-4.1465268475277934e-27,5.9126016630187865e-15,-2.337349643349289e-11,9.861707296316878e-14
3.1310000000000002,-1.4491531707194915e-12,-4.427530812076613e-27,6.109721645844492e-15,0.0,0.0
3.1310000000000002,-1.495900207935005e-12,-4.7177523874426186e-27,6.306961534654213e-15,0.0,0.0
3.1310000000000002,-1.5426472340946207e-12,-5.0171929764257824e-27,6.5041459766872e-15,0.0,0.0
3.1310000000000002,-1.589394247195106e-12,-5.325850871470122e-27,6.701313562764531e-15,0.0,0.0
3.14,-1.6361412721921692e-12,-5.643721635639629e-27,6.898301137399928e-15,-5.194113888562561e-12,2.188750829282188e-14
3.15,-1.6828882669586264e-12,-5.97080026849507e-27,7.095267197398459e-15,-4.674699476645716e-12,1.9696605999853158e-14
3.16,-1.7296353124348284e-12,-6.307088620540506e-27,7.292309541184223e-15,-4.674704547620213e-12,1.9704234378576332e-14
3.17,-1.7763823871103738e-12,-6.652587062777592e-27,7.489297420751493e-15,-4.67470746755454e-12,1.9698787956727e-14
3.182,-1.8231294623830774e-12,-7.007292235045306e-27,7.686204798307437e-15,-3.895589606058636e-12,1.6408948129662066e-14
3.19,-1.869876541016384e-12,-7.371202368942016e-27,7.883116089155603e-15,-5.843384829163356e-12,2.4613911356020643e-14
3.2,-1.9166236006189783e-12,-7.744320020009944e-27,8.080140391139605e-15,-4.6747059602594105e-12,1.9702430198400195e-14
3.209,-1.963370706956615e-12,-8.126652995243028e-27,8.277363000477196e-15,-5.194122926404108e-12,2.1913623259732436e-14
3.22,-2.010117802115535e-12,-8.51820297608888e-27,8.47447920553595e-15,-4.249735923538151e-12,1.7919655005341254e-14
3.23,-2.056864936735602e-12,-8.918977003288244e-27,8.671984656115303e-15,-4.674713462006708e-12,1.975054505793532e-14
3.24,-2.1036120561683684e-12,-9.328975791108213e-27,8.869151259634419e-15,-4.6747119432766335e-12,1.9716660351911543e-14
3.252,-2.150359186184811e-12,-9.748194920013489e-27,9.066457996284351e-15,-3.8955941680369176e-12,1.6442228054161035e-14
3.26,-2.197106268024138e-12,-1.0176636442461443e-26,9.263735273128377e-15,-5.843385229915818e-12,2.4659659605503236e-14
3.27,-2.2438533644303135e-12,-1.0614297193733475e-26,9.460882293245773e-15,-4.674709640617566e-12,1.971470201173961e-14
